85.81,85.7,74.86,72.46,87.09,302.75,79.37,76.95,160.68,70.57,78.33,1000,377.33,81.48,83.22,77.37,84.96,83.86,65.74,188.16,71.04,211.1,977.42,101.65,76.84,76.64,1000,77.9,72.07,79.95,83.47,78.29,39.27,78.67,916.6,79.1,13.12,86.66,81.23,80.21,829.33,90.38,14,65,>Ctrl
85.81,85.7,74.86,72.46,87.09,302.75,79.37,76.95,160.68,70.57,78.33,1000,377.33,81.48,83.22,77.37,84.96,83.86,65.74,188.16,71.04,211.1,977.42,101.65,76.84,76.64,1000,77.9,72.07,79.95,83.47,78.29,39.27,78.67,916.6,79.1,13.12,86.66,81.23,80.21,829.33,90.38,14,7,<=Ctrl
78.28,86.23,75.23,72.62,87.15,308.95,78.99,76.91,30.54,72.65,78.52,1000,393.97,81.77,83.47,77.52,85.04,85.97,65.88,188.02,71.17,303.62,919.86,103.23,76.82,76.62,1000,77.62,72.39,82.16,85.32,78.07,39.76,78.84,946.61,79.5,13.2,77.48,73.4,80.54,837,94.59,14,65,>Ctrl
78.28,86.23,75.23,72.62,87.15,308.95,78.99,76.91,30.54,72.65,78.52,1000,393.97,81.77,83.47,77.52,85.04,85.97,65.88,188.02,71.17,303.62,919.86,103.23,76.82,76.62,1000,77.62,72.39,82.16,85.32,78.07,39.76,78.84,946.61,79.5,13.2,77.48,73.4,80.54,837,94.59,14,7,<=Ctrl
78.28,86.23,75.23,72.62,87.15,308.95,78.99,76.91,30.54,72.65,78.52,1000,393.97,81.77,83.47,77.52,85.04,85.97,65.88,188.02,71.17,303.62,919.86,103.23,76.82,76.62,1000,77.62,72.39,82.16,85.32,78.07,39.76,78.84,946.61,79.5,13.2,77.48,73.4,80.54,837,94.59,14,65,>Ctrl
78.28,86.23,75.23,72.62,87.15,308.95,78.99,76.91,30.54,72.65,78.52,1000,393.97,81.77,83.47,77.52,85.04,85.97,65.88,188.02,71.17,303.62,919.86,103.23,76.82,76.62,1000,77.62,72.39,82.16,85.32,78.07,39.76,78.84,946.61,79.5,13.2,77.48,73.4,80.54,837,94.59,14,7,<=Ctrl
78.28,86.23,75.23,72.62,87.15,308.95,78.99,76.91,30.54,72.65,78.52,1000,393.97,81.77,83.47,77.52,85.04,85.97,65.88,188.02,71.17,303.62,919.86,103.23,76.82,76.62,1000,77.62,72.39,82.16,85.32,78.07,39.76,78.84,946.61,79.5,13.2,77.48,73.4,80.54,837,94.59,14,65,>Ctrl
78.28,86.23,75.23,72.62,87.15,308.95,78.99,76.91,30.54,72.65,78.52,1000,393.97,81.77,83.47,77.52,85.04,85.97,65.88,188.02,71.17,303.62,919.86,103.23,76.82,76.62,1000,77.62,72.39,82.16,85.32,78.07,39.76,78.84,946.61,79.5,13.2,77.48,73.4,80.54,837,94.59,14,7,<=Ctrl
78.04,84.74,75.36,72.55,87.12,315.85,78.03,76.71,167.79,38.52,77.87,1000,383.77,79.65,80.98,77.64,84.59,85.94,65.75,193.07,71.21,178.72,826.1,102.96,76.64,76.43,1000,77.06,72.16,82.06,85.14,77.67,39.44,78.38,939.85,79.38,12.89,77.46,73.42,80.37,835.34,93.07,13,40,>Ctrl
78.04,84.74,75.36,72.55,87.12,315.85,78.03,76.71,167.79,38.52,77.87,1000,383.77,79.65,80.98,77.64,84.59,85.94,65.75,193.07,71.21,178.72,826.1,102.96,76.64,76.43,1000,77.06,72.16,82.06,85.14,77.67,39.44,78.38,939.85,79.38,12.89,77.46,73.42,80.37,835.34,93.07,13,40,>Ctrl
